name,brand,category,price,region,tags,rating,stock,description,image_url,mode
boAt Airdopes 141,boAt,Audio,1299,India,"wireless,earbuds,audio",4.2,150,"True wireless earbuds with long battery life.","https://www.boat-lifestyle.com/cdn/shop/files/AD141-FI_Black01_600x.png?v=1698391770",gaming
boAt Rockerz 255 Pro+,boAt,Audio,1799,India,"wireless,earphones,music",4.4,120,"Bluetooth earphones with extra bass.","https://www.boat-lifestyle.com/cdn/shop/files/R255Pro_-FI_Black01_1300x.png?v=1713177293",gaming
boAt Rockerz 370 Pro,boAt,Audio,1299,India,"headphones,wireless,audio",4.1,100,"Wireless over-ear headphones with clear sound.","https://www.boat-lifestyle.com/cdn/shop/files/ROCKERZ_370_PRO_PP.74_800x.png?v=1724993630",gaming
boAt Immortal 131,boAt,Gaming Accessories,1999,India,"gaming,earbuds,RGB",4.3,80,"Gaming TWS earbuds with RGB lights.","https://www.boat-lifestyle.com/cdn/shop/files/Artboard1copy_800x.png?v=1712639870",gaming
boAt BassHeads 110,boAt,Audio,499,India,"wired,earphones,bass",4.0,200,"Wired earphones with powerful bass.","https://www.boat-lifestyle.com/cdn/shop/products/bassheads-110-white_600x.png?v=1613457275",gaming
House of Bruar Apparel 2,House of Bruar,Clothing,2200,India,"apparel,shirt,houseofbruar",4.0,60,"House of Bruar apparel — design 2","https://media.houseofbruar.com/www/images/products/medium/TN08251CARANATIONPLAIN.jpg",fashion
House of Bruar Apparel 3,House of Bruar,Clothing,2300,India,"apparel,shirt,houseofbruar",4.0,55,"House of Bruar apparel — design 3","https://media.houseofbruar.com/www/images/products/medium/TP10208ANTBLUEGREEN.jpg",fashion
House of Bruar Apparel 4,House of Bruar,Clothing,2100,India,"apparel,shirt,houseofbruar",4.2,45,"House of Bruar apparel — design 4","https://media.houseofbruar.com/www/images/products/medium/TS12327ANCBLACKWATCH.jpg",fashion
House of Bruar Apparel 5,House of Bruar,Clothing,2150,India,"apparel,shirt,houseofbruar",4.1,50,"House of Bruar apparel — design 5","https://media.houseofbruar.com/www/images/products/medium/TP23009BLACKWATCH.jpg",fashion
Raymond Shirt 1,Raymond,Clothing,1800,India,"shirt,raymond,apparel",4.0,70,"Raymond shirt design 1","https://myraymond.com/cdn/shop/files/RMTS05219-O8-2.jpg",fashion
Raymond Shirt 2,Raymond,Clothing,1900,India,"shirt,raymond,apparel",4.1,65,"Raymond shirt design 2","https://myraymond.com/cdn/shop/files/RCKD01231-B6-1.jpg",fashion
Raymond Shirt 3,Raymond,Clothing,2000,India,"shirt,raymond,apparel",4.0,60,"Raymond shirt design 3","https://myraymond.com/cdn/shop/files/CMSS30197-B6-6.jpg",fashion
Lenskart Glasses Kids Blue‑Block,Lenskart,Eyewear,1200,India,"eyewear,glasses,lenskart",4.3,80,"Lenskart kids blue‑block glasses","https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//l/i/alaya-:-gold-tortoise-full-rim-cat-eye-lenskart-air-fusion-la-e11824-c2-eyeglasses_left-1",fashion
John Jacobs Sunglasses,John Jacobs,Eyewear,1600,India,"sunglasses,eyewear,johnjacobs",4.2,75,"Gunmetal Blue John Jacobs sunglasses","https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//j/i/Gunmetal-Blue-Square-John-Jacobs-JJ-Tints-JJ-S14446-C4-Sunglasses_G_1069.jpg",fashion
John Jacobs Eyeglasses,John Jacobs,Eyewear,1500,India,"eyeglasses,johnjacobs",4.1,70,"John Jacobs eyeglasses model","https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//j/i/john-jacobs-jj-e16116-c2-eyeglasses_g_8778_19_10_2023.jpg",fashion
Vincent Chase Eyewear,Vincent Chase,Eyewear,1700,India,"eyewear,vincentchase",4.0,65,"Sleek steel Vincent Chase eyeglasses","https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//v/i/copper-brown-full-rim-round-vincent-chase-sleek-steel-vc-e15069-c2-eyeglasses_g_3676_10_14_22.jpg",fashion
RedMagic Gaming Device,RedMagic,Gaming,45000,India,"gaming,smartphone,redmagic",4.4,70,"RedMagic gaming device","https://global.redmagic.gg/cdn/shop/files/Black-PC-01_823x.png?v=1752566702",gaming
Rasna Pouch,Rasna,Beverage,90,India,"beverage,rasna",3.8,600,"Rasna pouch","https://rasna.shop/cdn/shop/files/750POUCH.jpg?v=1740745746&width=713",budget broke
Xiaomi Earbuds,Xiaomi,Audio,1299,India,"wireless,earbuds",4.0,100,"Xiaomi wireless earbuds","https://i02.appmifile.com/123_operator_sg/12/02/2025/38418a27801333cbce915168b60a1cc8.jpg",gaming
Redmi A3,Redmi,Smartphone,7499,India,"smartphone,android",4.2,200,"Redmi A3 smartphone","https://i02.appmifile.com/mi-com-product/fly-birds/redmi-a3/in/pc/a1235c1a1611134fe7ede0be67da4251.png",gaming
Samsung Galaxy A35,Samsung,Smartphone,25999,India,"smartphone,samsung,5G",4.3,150,"Samsung Galaxy A35 5G","https://images.samsung.com/is/image/samsung/p6pim/in/feature/165087957/in-feature-galaxy-a35-5g-sm-a356-540789527?$FB_TYPE_A_JPG$",gaming
Samsung Galaxy Tab A11,Samsung,Tablet,20999,India,"tablet,android",4.4,120,"Samsung Galaxy Tab A11 with 11-inch display","https://images.samsung.com/is/image/samsung/p6pim/in/sm-x135gzaains/gallery/in-galaxy-tab-a11-sm-x130-565456-sm-x135gzaains-thumb-549175207?$216_216_PNG$",gaming
Samsung Galaxy S25 Edge,Samsung,Smartphone,79999,India,"smartphone,flagship",4.6,100,"Samsung Galaxy S25 Edge – premium flagship","https://images.samsung.com/in/smartphones/galaxy-s25-edge/images/galaxy-s25-edge-features-kv.jpg?imbypass=true",gaming
Samsung Galaxy A16 5G,Samsung,Smartphone,13999,India,"smartphone,5G",4.3,160,"Samsung Galaxy A16 5G","https://images.samsung.com/is/image/samsung/p6pim/in/sm-a166pzdhins/gallery/in-galaxy-a16-5g-sm-a166-sm-a166pzdhins-thumb-544007856?$216_216_PNG$",gaming
Sony BRAVIA 9,Sony,Television,219999,India,"tv,sony,oled",4.7,80,"Sony BRAVIA 9 OLED TV for cinematic experience","https://sony.scene7.com/is/image/sonyglobalsolutions/TVFY25_BRAVIA9_Cinema_1linkintro-image-lo?$originalDimensions$",kitchen_appliances
Samsung Monitor (model unknown),Samsung,Monitor,18999,India,"monitor,display",4.3,90,"Samsung smart display monitor","https://m.media-amazon.com/images/I/61nl8vSa8vL._AC_SY300_SX300_QL70_FMwebp_.jpg",kitchen_appliances
LG MyView Smart Monitor 32SR50F,LG,Monitor,16500,India,"monitor,smart,lg",4.4,60,"LG 32-inch MyView Smart Monitor","https://www.lg.com/content/dam/channel/wcms/in/monitors/my-view-smart-monitor/mnt-smart-32sr50f-2023/gallery/dz-01.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=800",kitchen_appliances
LG 55UA82006LA 4K TV,LG,Television,47999,India,"tv,4k,smart",4.5,75,"LG 55-inch 4K UHD Smart TV","https://www.lg.com/content/dam/channel/wcms/in/images/tv-images/new-features/55UA82006LA_2010x1334_1.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=800",kitchen_appliances
LG Refrigerator GL-I292RPZX,LG,Appliances,28999,India,"refrigerator,double-door",4.4,100,"LG 260L Double Door Refrigerator","https://www.lg.com/content/dam/channel/wcms/in/images/refrigerators/updated/new/GL-I292RPZX-2010x1334.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=800",kitchen_appliances
LG Refrigerator GL-M051RSWB,LG,Appliances,18999,India,"refrigerator,single-door",4.2,130,"LG Single Door 185L Refrigerator","https://www.lg.com/content/dam/channel/wcms/in/images/refrigerators/updated5/GL-M051RSWB-2010x1334-1.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=800",kitchen_appliances
Whirlpool Refrigerator 1,Whirlpool,Appliances,21999,India,"refrigerator,double-door",4.3,120,"Whirlpool double-door refrigerator","https://whirlpoolindia.vtexassets.com/arquivos/ids/169987-1200-auto?v=638780443121900000&width=1200&height=auto&aspect=true",kitchen_appliances
Whirlpool Refrigerator 2,Whirlpool,Appliances,19999,India,"refrigerator,double-door",4.2,110,"Whirlpool double-door refrigerator","https://whirlpoolindia.vtexassets.com/arquivos/ids/169333-1200-auto?v=638683756226200000&width=1200&height=auto&aspect=true",kitchen_appliances
Whirlpool Refrigerator 3,Whirlpool,Appliances,18999,India,"refrigerator,single-door",4.1,130,"Whirlpool single-door refrigerator","https://whirlpoolindia.vtexassets.com/arquivos/ids/161142-1200-auto?v=637894860905770000&width=1200&height=auto&aspect=true",kitchen_appliances
Bajaj Mixer Grinder,Bajaj,Kitchen Appliances,2999,India,"mixer,kitchen",4.0,90,"Bajaj Mixer Grinder for daily use","https://rukminim2.flixcart.com/image/312/312/xif0q/mixer-grinder-juicer/b/t/c/-original-imahehzw4cw4zz5g.jpeg?q=70&crop=false",kitchen_appliances
Bajaj AFX7 Air Fryer,Bajaj,Kitchen Appliances,5999,India,"air fryer,kitchen",4.3,60,"Bajaj AFX7 Air Fryer – healthier cooking","https://5.imimg.com/data5/VQ/WP/MY-3407885/bajaj-afx7-air-fryer-1000x1000.jpg",kitchen_appliances
Bajaj Majesty KTX 9 Kettle,Bajaj,Kitchen Appliances,1399,India,"kettle,electric",4.2,80,"Bajaj 1L electric kettle","http://5.imimg.com/data5/SELLER/Default/2023/7/330393270/RS/MF/IK/181066436/bajaj-majesty-ktx-9-1-litre-stainless-steel-kettle-1000x1000.jpg",kitchen_appliances
Cosmic Byte GS430 Gaming Headset,Cosmic Byte,Headset,1299,India,"gamer,headset,RGB",4.4,45,"Comfortable gaming headphones with RGB lighting and noise-isolating mic for immersive gameplay.","https://cdns3.thecosmicbyte.com/wp-content/uploads/GS430-RED.jpg",gaming
Redgear A-15 Wired Gaming Mouse,Redgear,Mouse,399,India,"gaming mouse,RGB,budget gamer",4.3,52,"Fast-tracking gaming mouse with programmable buttons and RGB for budget gamers.","https://images-na.ssl-images-amazon.com/images/I/61o-AE7tqVL._AC_UL116_SR116,116_.jpg",gaming
ASUS TUF H3 Gaming Headset,ASUS,Headset,3499,Global,"premium gamer,headset,TUF series",4.6,20,"Durable metal-build gaming headset with deep bass and 7.1 surround via Armoury Crate.","https://dlcdnwebimgs.asus.com/gain/B7AAEDB5-B790-4C4E-B921-296749E4C3EA/w717/h525/fwebp",gaming
Redragon K552 Mechanical Keyboard,Redragon,Keyboard,2899,Global,"mechanical keyboard,RGB,gamer",4.5,30,"Compact mechanical keyboard with clicky blue switches and durable build quality.","https://www.redragon.in/cdn/shop/products/K552RGB.png?v=1628501716&width=1000",gaming
Logitech G203 LightSync,Logitech,Mouse,1799,Global,"gaming mouse,lightweight,RGB",4.7,25,"Ultra-responsive lightweight mouse with Lightsync RGB and 8k DPI sensor.","https://resource.logitechg.com/w_692,c_lpad,ar_4:3,q_auto,f_auto,dpr_2.0/d_transparent.gif/content/dam/gaming/en/products/refreshed-g203/2025-update/g203-mouse-top-angle-black-gallery-1.png?v=1",gaming
HP Gaming Keyboard Mouse Combo,HP,Accessories,999,India,"combo,keyboard,mouse,budget gamer",4.2,40,"Affordable gaming set including RGB keyboard and ergonomic gaming mouse.","https://in-media.apjonlinecdn.com/catalog/product/cache/b3b166914d87ce343d4dc5ec5117b502/5/1/519T1AA-2_T1698974460.png",gaming
Stellar Blade Poster Print,Sony Art,Poster,299,Global,"gaming poster,decor,ps5",4.8,60,"High-quality poster print featuring Stellar Blade artwork for gaming rooms.","https://gmedia.playstation.com/is/image/SIEPDC/stellar-blade-keyart-no-logo-01-en-7jun24?$600px--t$",gaming
Until Dawn Poster Print,Sony Art,Poster,249,Global,"horror,gaming poster,ps5",4.7,50,"Atmospheric poster from Until Dawn to enhance gaming wall aesthetics.","https://gmedia.playstation.com/is/image/SIEPDC/until-dawn-hero-mobile-01-en-22jan24?$600px--t$",gaming
Ant Esports KM500 Gaming Combo,Ant Esports,Accessories,1499,India,"keyboard mouse combo,gamer,RGB",4.4,35,"RGB mechanical-feel keyboard with anti-ghosting and ergonomic gaming mouse.","https://m.media-amazon.com/images/I/81whXrIADyL._SX679_.jpg",gaming
Ant Esports H800 Headset,Ant Esports,Headset,999,India,"gaming headset,budget gamer",4.3,48,"Lightweight gaming headset with clear mic and punchy bass for daily gamers.","https://antesports.com/wp-content/uploads/2023/04/H800Listing_1-416x416.png",gaming
Ant Esports GM500 RGB Mouse,Ant Esports,Mouse,599,India,"RGB mouse,precision,gamer",4.4,43,"High-precision RGB gaming mouse ideal for FPS and casual gamers.","https://antesports.com/wp-content/uploads/2025/05/Listing-Image_1-removebg-preview-29-416x416.png",gaming
Condenser Studio Microphone DWM006,Digitek,Audio,2499,India,"microphone,recording,creator",4.4,50,"USB studio condenser mic for singing, podcasting and video recording.","https://www.digitek.net.in/cdn/shop/files/DWM006PRORPD-1.jpg?v=1750070704&width=800",creator
Pop Filter Windscreen,Generic,Audio Accessory,199,India,"pop-filter,recording,studio",4.2,200,"Removes pop noise and protects microphone — essential for clean recordings.","https://futureforward.in/images/thumbs/001/0015483_windscreens-pop-filters.jpeg",creator
Adjustable Mic Stand,CASTON,Audio Accessory,899,India,"mic-stand,recording,studio",4.3,100,"Sturdy adjustable stand to hold mics for podcasts, streams and recording sessions.","https://cason.in/cdn/shop/products/0.1_907096cf-a2da-4eb7-92b6-ec54215585ee.jpg?v=1659628232&width=713",creator
Shock Mount + Windshield Kit,Saramonic,Audio Accessory,1299,India,"mic-kit,windshield,studio",4.5,40,"Windshield and suspension to reduce noise & vibration during recording.","https://futureforward.in/images/thumbs/009/0092723_saramonic-vws-windshield-and-suspension-system-for-shotgun-and-pencil-microphones_300.jpeg",creator
Gaming Headset Zeb Companion 303,Zebronics,Audio,1599,India,"headset,gaming,recording",4.1,60,"Affordable headset with mic — good for gaming, streaming or video calls.","https://zebronics.com/cdn/shop/files/zeb-companion303-pic1.jpg?v=1702621853&width=500",creator
Compact Portable Mic,Generic,Audio,799,India,"mic,portable,creator",4.0,120,"Small portable mic ideal for mobile recording or on-the-go content creation.","https://m.media-amazon.com/images/I/31HSfH1VceL._SL500_.jpg",creator
USB Shotgun Microphone,Generic,Audio,899,India,"mic,shotgun,video",4.2,150,"Shotgun mic for DSLR/phone videos — enhances vocal clarity for vlogs/streams.","https://m.media-amazon.com/images/I/41t-aHnkCmL._SL500_.jpg",creator
Digital Drawing Tablet XP-Pen (small),XP-Pen,Electronics,2499,India,"drawing,tablet,artist",4.4,70,"Compact drawing tablet — perfect for digital art, thumbnails, editing.","https://www.xp-pen.com/Uploads/images/2025/09/17588525015a674c8d01222e73.jpg",creator
XP-Pen Tablet with Pen,XP-Pen,Electronics,2999,India,"drawing,tablet,artist",4.5,50,"Advanced graphics tablet for illustrators, animators and content creators.","https://www.xp-pen.com/Uploads/images/2025/10/1760347232cafa4c4e0f1a0294.jpg",creator
Sunday Rest Memory Foam Pillow,Sunday Rest,Home & Living,1999,India,"sleep,comfort,bedding",4.6,50,"Ergonomic memory foam pillow for better sleep posture and neck support.","https://www.sundayrest.com/cdn/shop/products/Slide_1.png?v=1615374854",sleep
Bath & Body Works Lavender Sleep Mist,Bath & Body Works,Home Fragrance,799,India,"sleep,aroma,relax",4.4,120,"Calming lavender mist to spray before bed — helps relax mind and improve sleep.","https://www.bathandbodyworks.in/on/demandware.static/-/Sites-bathandbody_storefront_catalog/default/dwa731366b/DDD%2060.webp",sleep
Rotary Foam Earplugs (Pack of 50),Generic,Accessories,149,India,"sleep,earplugs,noise-reduction",4.2,300,"Soft foam earplugs to block ambient noise for undisturbed sleep.","https://5.imimg.com/data5/ANDROID/Default/2025/4/502961570/PT/DD/RO/241885626/product-jpeg-250x250.jpg",sleep
White Noise Sleep Machine,BASICS,Electronics,1299,India,"sleep,relaxation,white-noise",4.3,80,"Compact white-noise machine with multiple soothing sound modes for deep sleep.","https://m.media-amazon.com/images/I/51eWgwkv5wL._AC_UL480_FMwebp_QL65_.jpg",sleep
Cooling Gel Memory Pillow,Xiaomi India,Home & Living,1099,India,"sleep,cooling,pillow",4.5,70,"Cooling gel pillow to reduce heat and improve comfort for sleepers who feel hot at night.","https://m.media-amazon.com/images/I/31we7tebp8L._SL500_.jpg",sleep
3D Contoured Sleep Eye Mask,MyMzoo,Accessories,299,India,"sleep,eye-mask,light-block",4.4,150,"Zero-pressure 3D sleep mask to block light and help you fall asleep faster.","https://mymzoo.com/wp-content/uploads/2025/02/MZOO-Zero-Eye-Pressure-3D-Sleeping-Mask.jpg",sleep
Mini Desk LED Lamp,Inkarto,Electronics,249,India,"budget,lighting,desk,study",4.2,120,"A compact LED lamp perfect for late-night study sessions. Lightweight and USB-powered.","https://inkarto.com/cdn/shop/files/612hWm3J2FL._SX522.jpg?v=1761822460&width=535",budget broke
Miniature White Farmhouse Decor,Inkarto,Home Decor,199,India,"budget,decor,aesthetic",4.0,90,"A small minimalist farmhouse decor piece for a clean and calming desk setup.","https://inkarto.com/cdn/shop/files/jags-mumbai-miniature-white-farmhouse-border-41166938308821.jpg?v=1762067119&width=535",budget broke
Inkarto Acrylic Paint Marker,Inkarto,Stationery,99,India,"budget,art,stationery",4.1,150,"A durable acrylic paint marker ideal for labeling, journaling, and creative notes.","https://inkarto.com/cdn/shop/files/D1580-C_2.jpg?v=1760297018&width=535",budget broke
Premium White Matt Spray Paint 150ml,Inkarto,Tools,179,India,"budget,diy,tools",4.0,110,"Reliable acrylic spray paint for DIY fixes and craft projects on a small budget.","https://inkarto.com/cdn/shop/files/jags-mumbai-paint-colours-premium-white-matt-acrylic-spray-paint-150ml-ultra-coverage-41166884045013.jpg?v=1760269274&width=535",Budget_broke
Mixed Sponge Brush Pack (5pc),Inkarto,Tools,129,India,"budget,craft,diy",4.3,200,"A set of sponge brushes for painting, cleaning, and multi-purpose use.","https://inkarto.com/cdn/shop/files/mg-traders-pack-tools-5pc-mixed-sponge-brush-and-tool-mg5223-contain-1-unit-41182836162773.jpg?v=1760287856&width=360",Budget_broke
Right Choice Exam Set,Kaco,Stationery,149,India,"budget,exam,stationery",4.4,180,"A practical exam-friendly set with essential pens and tools for efficient writing.","https://scooboo.in/cdn/shop/files/KacoRightChoiceSetForAnswerSheet.jpg?v=1755237203&width=535",budget broke
Cappy 2-in-1 Sharpener,Keyroad,Stationery,49,India,"budget,sharpener,school",4.1,300,"A compact dual sharpener with cap protection — perfect for school and office use.","https://scooboo.in/cdn/shop/files/keyroad-sharpener-cappy-2-in1-sharpeners-scoobookeyroad6954884574062kr971288-877063.jpg?v=1713219879&width=355",budget broke
